Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cosine,Level_Description_jaccard,skills_skillner,skills_skillner_qe,skills_skillner_keybert,skills_skillner_qe_keybert,rake_skills,yake_skills,skills_skillner_rake,skills_skillner_yake,skills_skillner_count,skills_skillner_qe_count,skills_skillner_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count
Strategic planning,4,Strategic planning 4,"Contributes to the collection and analysis of information to support strategy development. _x000D_
Assists in the preparation of reports and insights for strategic planning._x000D_
Supports the communication of strategic plans and related change initiatives to relevant stakeholders. _x000D_
Helps monitor progress against strategic objectives and provides feedback.",contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback,contributes to the collection and analysis of information to support strategy development. xd assists in the preparation of reports and insights for strategic planning. xd supports the communication of strategic plans and related change initiatives to relevant stakeholders. xd helps monitor progress against strategic objectives and provides feedback.,"['strategic plans', 'xd', 'communication strategic', 'monitor progress', 'preparation reports', 'collection']","['ingathering', 'appeal', 'assembling', 'xd', 'strategic plans', 'communication strategic', 'accumulation', 'collecting', 'aggregation', 'monitor progress', 'solicitation', 'compendium', 'preparation reports', 'collection', 'assemblage']","['strategic monitor progress', 'plans xd communication', 'communication strategic', 'progress preparation reports', 'reports collection']","['xd strategic plans', 'strategic accumulation collecting', 'ingathering appeal assembling', 'collecting aggregation monitor', 'progress solicitation compendium']","['xd helps monitor progress', 'support strategy development', 'related change initiatives', 'xd supports', 'xd assists', 'strategic plans', 'strategic planning', 'strategic objectives', 'relevant stakeholders', 'provides feedback', 'reports', 'preparation', 'insights', 'information', 'contributes', 'communication', 'collection', 'analysis']","['support strategy development', 'collection and analysis', 'analysis of information', 'contributes', 'planning', 'feedback', 'progress']","['reports', 'xd', 'strategic plans', 'insights', 'monitor progress', 'support strategy development', 'xd supports', 'strategic objectives', 'xd helps monitor progress', 'communication', 'provides feedback', 'collection', 'relevant stakeholders', 'analysis', 'strategic planning', 'preparation', 'communication strategic', 'xd assists', 'contributes', 'information', 'preparation reports', 'related change initiatives']","['xd', 'strategic plans', 'monitor progress', 'support strategy development', 'analysis of information', 'planning', 'collection and analysis', 'collection', 'contributes', 'communication strategic', 'progress', 'feedback', 'preparation reports']",6,15,5,5,22,13
Strategic planning,5,Strategic planning 5,"Collates information and creates reports and insights to support strategy management processes._x000D_
Ensures all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach._x000D_
Develops and communicates plans to drive forward the strategy and related change planning._x000D_
Contributes to the development of policies, standards and guidelines for strategy development and planning.",collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning,"collates information and creates reports and insights to support strategy management processes. xd ensures all stakeholders are aware of the strategic management approach and timetables. provides support and guidance to help stakeholders adhere to the approach. xd develops and communicates plans to drive forward the strategy and related change planning. xd contributes to the development of policies, standards and guidelines for strategy development and planning.","['strategic management', 'develops communicates', 'communicates plans', 'development planning', 'development policies', 'management']","['strategic management', 'direction', 'develops communicates', 'communicates plans', 'development planning', 'development policies', 'management']","['communicates plans development', 'management develops communicates', 'strategic management develops', 'development policies management', 'develops']","['communicates plans development', 'strategic management direction', 'development policies management', 'direction develops communicates', 'develops']","['support strategy management processes', 'strategic management approach', 'related change planning', 'help stakeholders adhere', 'provides support', 'xd ensures', 'xd develops', 'xd contributes', 'drive forward', 'creates reports', 'communicates plans', 'collates information', 'strategy development', 'strategy', 'stakeholders', 'planning', 'approach', 'development', 'timetables', 'standards', 'policies', 'insights', 'guidelines', 'guidance', 'aware']","['strategy management processes', 'insights to support', 'collates', 'approach', 'planning', 'development', 'guidance']","['strategic management approach', 'xd ensures', 'standards', 'provides support', 'develops communicates', 'timetables', 'aware', 'guidance', 'creates reports', 'insights', 'policies', 'support strategy management processes', 'strategy', 'planning', 'related change planning', 'management', 'xd contributes', 'drive forward', 'collates information', 'strategic management', 'strategy development', 'development', 'communicates plans', 'guidelines', 'development planning', 'approach', 'help stakeholders adhere', 'stakeholders', 'development policies', 'xd develops']","['develops communicates', 'guidance', 'strategy management processes', 'collates', 'planning', 'management', 'development', 'strategic management', 'communicates plans', 'development planning', 'insights to support', 'approach', 'development policies']",6,7,5,5,30,13
Strategic planning,6,Strategic planning 6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning._x000D_
Leads and manages the creation or review of a strategy that meets the requirements of the business. _x000D_
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.",sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation,"sets policies, standards and guidelines for how the organisation conducts strategy development and planning. xd leads and manages the creation or review of a strategy that meets the requirements of the business. xd develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.","['strategic management', 'develops communicates', 'xd', 'leads manages', 'requirements business', 'operational management']","['strategic management', 'develops communicates', 'xd', 'leads manages', 'requirements business', 'operational management']","['strategic management develops', 'business operational management', 'leads manages requirements', 'management develops communicates', 'communicates xd leads']","['strategic management develops', 'business operational management', 'leads manages requirements', 'management develops communicates', 'communicates xd leads']","['organisation conducts strategy development', 'embed strategic management', 'operational management', 'xd leads', 'xd develops', 'sets policies', 'strategy', 'organisation', 'standards', 'reviews', 'review', 'requirements', 'processes', 'planning', 'meets', 'manages', 'implements', 'guidelines', 'creation', 'communicates', 'business']","['conducts strategy development', 'organisation conducts strategy', 'sets policies', 'planning', 'leads', 'embed']","['implements', 'standards', 'develops communicates', 'xd', 'organisation', 'leads manages', 'communicates', 'strategy', 'reviews', 'processes', 'sets policies', 'planning', 'manages', 'meets', 'organisation conducts strategy development', 'requirements', 'strategic management', 'xd leads', 'requirements business', 'guidelines', 'operational management', 'creation', 'review', 'business', 'embed strategic management', 'xd develops']","['develops communicates', 'xd', 'leads manages', 'leads', 'organisation conducts strategy', 'planning', 'sets policies', 'embed', 'strategic management', 'requirements business', 'operational management', 'conducts strategy development']",6,6,5,5,26,12
Strategic planning,7,Strategic planning 7,"Leads the definition, implementation and communication of the organisation’s strategic management framework. _x000D_
Directs the creation and review of a strategy and plans to support the strategic requirements of the business.",leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business,"leads the definition, implementation and communication of the organisation s strategic management framework. xd directs the creation and review of a strategy and plans to support the strategic requirements of the business.","['strategic management', 'xd', 'requirements business', 'plans', 'communication', 'support business']","['be after', 'strategic management', 'programme', 'xd', 'design', 'communicating', 'project', 'requirements business', 'contrive', 'architectural plan', 'program', 'plans', 'communication', 'support business', 'plan']","['business plans communication', 'management xd requirements', 'requirements business', 'communication support business', 'strategic management']","['architectural plan program', 'management programme xd', 'requirements business contrive', 'design communicating project', 'communication support business']","['strategic management framework', 'strategic requirements', 'xd directs', 'support', 'strategy', 'review', 'plans', 'organisation', 'leads', 'implementation', 'definition', 'creation', 'communication', 'business']","['strategic management framework', 'leads the definition', 'business', 'support']","['xd directs', 'xd', 'organisation', 'leads', 'plans', 'communication', 'strategy', 'implementation', 'strategic management framework', 'strategic management', 'definition', 'support', 'requirements business', 'creation', 'review', 'strategic requirements', 'support business', 'business']","['xd', 'plans', 'communication', 'strategic management framework', 'strategic management', 'support', 'requirements business', 'leads the definition', 'support business', 'business']",6,15,5,5,18,10
Information systems coordination,6,Information systems coordination 6,"Maintains awareness of the global needs of the organisation. _x000D_
Promotes the benefits that a common approach to technology deployment will bring to the entire organisation._x000D_
Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.",maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services,"maintains awareness of the global needs of the organisation. xd promotes the benefits that a common approach to technology deployment will bring to the entire organisation. xd coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.","['xd', 'collaborates', 'coordinates', 'information system', 'maintains']","['defend', 'xd', 'coordinate', 'collaborates', 'coordinates', 'ordinate', 'preserve', 'organize', 'hold', 'keep up', 'collaborate', 'sustain', 'conserve', 'keep', 'exert', 'observe', 'wield', 'organise', 'assert', 'uphold', 'asseverate', 'get together', 'information system', 'align', 'maintains', 'cooperate', 'co-ordinate', 'maintain', 'join forces']","['xd collaborates coordinates', 'collaborates coordinates information', 'xd collaborates', 'coordinates information maintains', 'information maintains']","['maintains cooperate ordinate', 'defend xd coordinate', 'wield organise assert', 'join forces', 'information align']","['xd promotes', 'xd coordinates', 'technology deployment', 'maintains awareness', 'information systems', 'global needs', 'common approach', 'entire organisation', 'organisation', 'services', 'promotion', 'others', 'implementation', 'development', 'collaborates', 'bring', 'benefits', 'acquisition']","['maintains awareness', 'entire organisation', 'global', 'approach to technology', 'technology deployment', 'deployment will bring', 'systems and services', 'common']","['others', 'bring', 'xd', 'organisation', 'collaborates', 'coordinates', 'entire organisation', 'benefits', 'acquisition', 'maintains awareness', 'common approach', 'xd coordinates', 'implementation', 'promotion', 'development', 'services', 'global needs', 'xd promotes', 'information system', 'technology deployment', 'maintains', 'information systems']","['systems and services', 'xd', 'collaborates', 'global', 'entire organisation', 'coordinates', 'common', 'maintains awareness', 'approach to technology', 'information system', 'technology deployment', 'maintains', 'deployment will bring']",5,29,5,5,22,13
Information systems coordination,7,Information systems coordination 7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. _x000D_
Coordinates all aspects of management of the lifecycle of information systems. _x000D_
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.",establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy,"establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. xd coordinates all aspects of management of the lifecycle of information systems. xd represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.","['managing information', 'xd', 'standards procedures', 'coordinates', 'communicates', 'information system', 'management lifecycle', 'management']","['xd', 'standards procedures', 'coordinate', 'pass', 'coordinates', 'ordinate', 'communicates', 'transmit', 'organize', 'management lifecycle', 'convey', 'management', 'commune', 'direction', 'managing information', 'intercommunicate', 'pass along', 'communicate', 'organise', 'information system', 'put across', 'align', 'pass on', 'co-ordinate']","['information xd standards', 'managing information xd', 'communicates information management', 'management lifecycle management', 'procedures coordinates communicates']","['xd standards procedures', 'coordinates ordinate communicates', 'pass communicate organise', 'procedures coordinate pass', 'lifecycle convey management']","['xd represents', 'xd coordinates', 'methods necessary', 'matters relating', 'managing information', 'information systems', 'external bodies', 'general management', 'entire organisation', 'information strategy', 'organisation', 'management', 'strategy', 'strategy', 'standards', 'procedures', 'policies', 'lifecycle', 'interests', 'implement', 'establishes', 'communicates', 'aspects']","['communicates the policies', 'procedures and methods', 'managing information', 'strategy', 'implement', 'lifecycle', 'bodies']","['standards', 'standards procedures', 'organisation', 'entire organisation', 'general management', 'policies', 'management lifecycle', 'xd coordinates', 'xd represents', 'management', 'managing information', 'establishes', 'lifecycle', 'information systems', 'information strategy', 'xd', 'coordinates', 'communicates', 'methods necessary', 'aspects', 'strategy', 'implement', 'matters relating', 'external bodies', 'information system', 'procedures', 'interests']","['managing information', 'procedures and methods', 'xd', 'standards procedures', 'coordinates', 'communicates', 'communicates the policies', 'bodies', 'information system', 'lifecycle', 'strategy', 'management lifecycle', 'management', 'implement']",8,24,5,5,27,14
Information management,3,Information management 3,"Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices._x000D_
Conducts routine searches for non-sensitive information needed to support organisational decision making._x000D_
Supports users to find and access information resources based on their requirements and approved access.",supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access,supports teams and individuals to identify and organise information assets and repositories in line with policy and practices. xd conducts routine searches for non sensitive information needed to support organisational decision making. xd supports users to find and access information resources based on their requirements and approved access.,"['decision', 'information based', 'access']","['admission', 'entree', 'decisiveness', 'get at', 'access code', 'decision', 'access', 'determination', 'approach', 'conclusion', 'memory access', 'information based', 'admittance', 'accession']","['information based access', 'decision information based', 'based access', 'information', 'decision']","['access code decision', 'based admittance accession', 'admission entree decisiveness', 'conclusion memory access', 'information based']","['support organisational decision making', 'non sensitive information needed', 'xd conducts routine searches', 'access information resources based', 'organise information assets', 'xd supports users', 'approved access', 'supports teams', 'requirements', 'repositories', 'practices', 'policy', 'line', 'individuals', 'identify', 'find']","['organise information assets', 'individuals to identify', 'teams', 'line', 'supports', 'access', 'requirements and approved', 'needed']","['support organisational decision making', 'non sensitive information needed', 'supports teams', 'repositories', 'identify', 'xd supports users', 'practices', 'requirements', 'organise information assets', 'individuals', 'line', 'xd conducts routine searches', 'find', 'decision', 'access', 'policy', 'approved access', 'access information resources based', 'information based']","['individuals to identify', 'organise information assets', 'decision', 'requirements and approved', 'line', 'teams', 'access', 'supports', 'information based', 'needed']",3,14,5,5,19,10
Information management,4,Information management 4,"Enables the organisation to organise, control and discover information assets._x000D_
Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices._x000D_
Enables users to find information through appropriate use of metadata and search tools._x000D_
Provides advice and guidance to enable good information management practices to be adopted across the organisation.",enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation,"enables the organisation to organise, control and discover information assets. xd supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices. xd enables users to find information through appropriate use of metadata and search tools. xd provides advice and guidance to enable good information management practices to be adopted across the organisation.","['control', 'information management', 'information information', 'catalogue', 'metadata', 'adopted']","['see to it', 'control', 'curb', 'master', 'adopt', 'sweep up', 'controller', 'manipulate', 'metadata', 'ascendence', 'adoptive', 'mastery', 'operate', 'control condition', 'take up', 'ensure', 'take on', 'command', 'take over', 'assume', 'information management', 'assure', 'restraint', 'follow', 'espouse', 'verify', 'keep in line', 'borrow', 'insure', 'ascendancy', 'see', 'ascendance', 'ascertain', 'hold', 'acquire', 'moderate', 'check', 'catalogue', 'dramatize', 'take in', 'embrace', 'ascendency', 'hold in', 'dramatise', 'dominance', 'catalog', 'information information', 'contain', 'adopted', 'take']","['information catalogue metadata', 'control information management', 'metadata adopted', 'information information', 'adopted']","['mastery operate control', 'control curb', 'ascertain hold acquire', 'dramatise dominance catalog', 'metadata ascendence']","['enable good information management practices', 'information management strategies', 'discover information assets', 'categorise information types', 'xd provides advice', 'xd enables users', 'information repositories', 'find information', 'xd supports', 'search tools', 'appropriate use', 'adopted across', 'practices', 'enables', 'organise', 'organisation', 'organisation', 'organisation', 'metadata', 'line', 'identify', 'guidance', 'control', 'catalogue']","['discover information assets', 'control and discover', 'organisation to organise', 'management', 'identify', 'supports', 'line', 'metadata', 'good']","['find information', 'control', 'identify', 'organisation', 'guidance', 'xd supports', 'practices', 'catalogue', 'metadata', 'enables', 'xd provides advice', 'adopted across', 'enable good information management practices', 'xd enables users', 'information repositories', 'search tools', 'organise', 'line', 'information management', 'information information', 'discover information assets', 'categorise information types', 'information management strategies', 'appropriate use', 'adopted']","['control', 'identify', 'catalogue', 'metadata', 'management', 'supports', 'good', 'organisation to organise', 'control and discover', 'line', 'information management', 'information information', 'discover information assets', 'adopted']",6,50,5,5,25,14
Information management,5,Information management 5,"Ensures implementation of information and records management policies and standard practice.  Communicates the benefits and value of information management. _x000D_
Plans effective information storage, sharing and publishing within the organisation. Develops organisational taxonomy for information assets. _x000D_
Provides expert advice and guidance to enable the organisation to get maximum value from its information assets. _x000D_
Assesses issues that might prevent the organisation from making maximum use of its information assets. Contributes to the development of policy, standards and procedures for compliance with relevant legislation.",ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation,"ensures implementation of information and records management policies and standard practice. communicates the benefits and value of information management. xd plans effective information storage, sharing and publishing within the organisation. develops organisational taxonomy for information assets. xd provides expert advice and guidance to enable the organisation to get maximum value from its information assets. xd assesses issues that might prevent the organisation from making maximum use of its information assets. contributes to the development of policy, standards and procedures for compliance with relevant legislation.","['record management', 'storage', 'xd', 'standards procedures', 'standard practice', 'communicates', 'information management', 'plans', 'taxonomy', 'development policy', 'legislation']","['standards procedures', 'pass', 'store', 'plans', 'convey', 'commune', 'lawmaking', 'reposition', 'storage', 'pass along', 'repositing', 'information management', 'architectural plan', 'memory', 'statute law', 'depot', 'memory board', 'be after', 'record management', 'programme', 'xd', 'warehousing', 'project', 'standard practice', 'storehouse', 'communicates', 'transmit', 'legislating', 'computer memory', 'taxonomy', 'entrepot', 'intercommunicate', 'design', 'computer storage', 'communicate', 'contrive', 'program', 'development policy', 'legislation', 'put across', 'pass on', 'plan']","['record management storage', 'information management plans', 'xd standards procedures', 'taxonomy development policy', 'practice']","['standards procedures pass', 'lawmaking reposition storage', 'development policy legislation', 'management architectural plan', 'practice storehouse communicates']","['xd plans effective information storage', 'xd provides expert advice', 'xd assesses issues', 'making maximum use', 'develops organisational taxonomy', 'records management policies', 'get maximum value', 'information management', 'information assets', 'information assets', 'information assets', 'standard practice', 'relevant legislation', 'publishing within', 'might prevent', 'ensures implementation', 'information', 'value', 'standards', 'sharing', 'procedures', 'policy', 'organisation', 'organisation', 'organisation', 'guidance', 'enable', 'development', 'contributes', 'compliance', 'communicates', 'benefits']","['records management policies', 'assets', 'implementation of information', 'policies and standard', 'maximum', 'storage', 'publishing', 'expert', 'advice', 'enable', 'procedures']","['enable', 'get maximum value', 'develops organisational taxonomy', 'information assets', 'standards', 'standards procedures', 'organisation', 'sharing', 'guidance', 'compliance', 'benefits', 'plans', 'relevant legislation', 'development', 'storage', 'xd assesses issues', 'records management policies', 'contributes', 'might prevent', 'information', 'information management', 'publishing within', 'record management', 'xd', 'standard practice', 'making maximum use', 'communicates', 'policy', 'taxonomy', 'value', 'ensures implementation', 'xd plans effective information storage', 'xd provides expert advice', 'development policy', 'legislation', 'procedures']","['enable', 'standards procedures', 'implementation of information', 'plans', 'storage', 'publishing', 'records management policies', 'information management', 'expert', 'record management', 'maximum', 'xd', 'standard practice', 'communicates', 'taxonomy', 'policies and standard', 'assets', 'development policy', 'legislation', 'procedures', 'advice']",11,42,5,5,36,21
Information management,6,Information management 6,"Leads and plans activities to communicate and implement information management strategies and policies.  _x000D_
Develops organisational policies, standards and guidelines for information management. _x000D_
Ensures the information required to support the organisation is defined. Creates information management processes.  _x000D_
Coordinates internal and externally sourced information resources to meet specific business objectives.",leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives,"leads and plans activities to communicate and implement information management strategies and policies. xd develops organisational policies, standards and guidelines for information management. xd ensures the information required to support the organisation is defined. creates information management processes. xd coordinates internal and externally sourced information resources to meet specific business objectives.","['activities', 'management process', 'xd', 'communicate', 'resources', 'coordinates', 'organisational policy', 'information management', 'plans', 'sourced information']","['activities', 'coordinate', 'pass', 'resource', 'organize', 'plans', 'action', 'natural action', 'convey', 'commune', 'bodily process', 'management process', 'pass along', 'imagination', 'information management', 'architectural plan', 'resourcefulness', 'co-ordinate', 'be after', 'programme', 'xd', 'activity', 'project', 'coordinates', 'transmit', 'organisational policy', 'ordinate', 'natural process', 'sourced information', 'intercommunicate', 'design', 'communicate', 'resources', 'activeness', 'bodily function', 'organise', 'contrive', 'program', 'body process', 'put across', 'pass on', 'align', 'plan']","['activities management process', 'organisational policy information', 'management process xd', 'information management plans', 'xd communicate resources']","['organize plans action', 'xd activity', 'resourcefulness ordinate programme', 'coordinates transmit organisational', 'contrive program body']","['meet specific business objectives', 'externally sourced information resources', 'implement information management strategies', 'creates information management processes', 'xd develops organisational policies', 'xd coordinates internal', 'information management', 'information required', 'xd ensures', 'plans activities', 'policies', 'support', 'standards', 'organisation', 'leads', 'guidelines', 'defined', 'communicate']","['leads and plans', 'activities to communicate', 'information', 'management', 'policies', 'develops', 'required', 'support', 'externally', 'meet specific']","['activities', 'xd ensures', 'standards', 'organisation', 'plans', 'policies', 'information required', 'plans activities', 'management process', 'support', 'information management', 'defined', 'meet specific business objectives', 'xd coordinates internal', 'xd develops organisational policies', 'xd', 'coordinates', 'organisational policy', 'leads', 'sourced information', 'externally sourced information resources', 'communicate', 'resources', 'guidelines', 'creates information management processes', 'implement information management strategies']","['develops', 'activities', 'leads and plans', 'activities to communicate', 'plans', 'policies', 'required', 'management', 'management process', 'support', 'information', 'information management', 'xd', 'coordinates', 'organisational policy', 'sourced information', 'meet specific', 'communicate', 'resources', 'externally']",10,43,5,5,26,20
